Date,Open,High,Low,Close,Adj Close,Volume
2021-05-19,30270.0,30990.0,30270.0,30270.0,24901.208984375,120545
2021-05-20,29500.0,30200.0,29360.0,29500.0,24267.779296875,32816
2021-05-21,29460.0,29860.0,29310.0,29460.0,24234.87109375,49398
2021-05-24,29100.0,29390.0,29010.0,29100.0,23938.724609375,34882
2021-05-25,28100.0,28900.0,28010.0,28100.0,23116.08984375,94793
2021-05-26,27980.0,28960.0,27110.0,27980.0,23017.37109375,71214
2021-05-27,28210.0,29000.0,27900.0,28210.0,23206.576171875,269037
2021-05-28,28580.0,28890.0,28210.0,28580.0,23510.955078125,61331
2021-05-31,28230.0,28600.0,28030.0,28230.0,23223.03125,12276
2021-06-01,28280.0,28280.0,28250.0,28280.0,23264.1640625,18855
2021-06-02,28230.0,28880.0,28000.0,28230.0,23223.03125,87746
2021-06-03,28560.0,28560.0,28300.0,28560.0,23494.5,123932
2021-06-04,28560.0,28700.0,28390.0,28560.0,23494.5,42588
2021-06-07,28560.0,28560.0,28560.0,28560.0,23494.5,0
2021-06-08,28500.0,28950.0,28400.0,28500.0,23445.142578125,43120
2021-06-09,29000.0,29000.0,28600.0,29000.0,23856.458984375,32096
2021-06-10,29570.0,29690.0,29000.0,29570.0,24325.36328125,107859
2021-06-11,30200.0,30200.0,29600.0,30200.0,24843.625,55904
2021-06-14,30200.0,30200.0,30200.0,30200.0,24843.625,0
2021-06-15,30200.0,30890.0,29720.0,30200.0,24843.625,57249
2021-06-16,29700.0,30000.0,29700.0,29700.0,24432.306640625,31960
2021-06-17,29990.0,29990.0,29700.0,29990.0,24670.87109375,23647
2021-06-18,30000.0,30000.0,29320.0,30000.0,24679.095703125,66129
2021-06-21,29370.0,29770.0,29370.0,29370.0,24160.8359375,42291
2021-06-22,29130.0,29200.0,29100.0,29130.0,23963.404296875,214203
2021-06-23,28800.0,29100.0,28800.0,28800.0,23691.93359375,123070
2021-06-24,29580.0,29690.0,28800.0,29580.0,24333.58984375,25254
2021-06-25,29930.0,29930.0,28800.0,29930.0,24621.513671875,2846
2021-06-28,29630.0,29630.0,29500.0,29630.0,24374.72265625,9958
2021-06-29,29060.0,29500.0,29060.0,29060.0,23905.81640625,12476
2021-06-30,29200.0,29460.0,29030.0,29200.0,24020.98828125,70042
2021-07-01,29300.0,29300.0,29000.0,29300.0,24103.251953125,36175
2021-07-02,29730.0,29830.0,29110.0,29730.0,24456.984375,13081
2021-07-05,29730.0,29730.0,29730.0,29730.0,24456.984375,0
2021-07-06,30000.0,30000.0,29520.0,30000.0,24679.095703125,21643
2021-07-07,29970.0,29970.0,29330.0,29970.0,24654.416015625,16227
2021-07-08,29980.0,29980.0,29400.0,29980.0,24662.642578125,59412
2021-07-09,29910.0,30390.0,29900.0,29910.0,24605.060546875,35071
2021-07-12,30450.0,30470.0,29950.0,30450.0,25049.28515625,58748
2021-07-13,30260.0,30420.0,30160.0,30260.0,24892.984375,4940
2021-07-14,30060.0,30280.0,30060.0,30060.0,24728.455078125,16866
2021-07-15,30090.0,30100.0,29710.0,30090.0,24753.1328125,17081
2021-07-16,29990.0,30120.0,29990.0,29990.0,24670.87109375,7983
2021-07-19,29030.0,29510.0,29030.0,29030.0,23881.138671875,6731
2021-07-20,29030.0,29030.0,29030.0,29030.0,23881.138671875,0
